file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\async\AsyncRootNumbersTest.java,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest,class,7,8,1,7,7,3,0,15,19,0.71428573,0.0,0.0,7,0,0,4,0,3,3,0,0,0,1,0,0,1,0,0,1,0,2,86,0,0,0,0,0,39,67,7,0,7,0,0,0,0,42,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\GeneratorFailTest.java,com.fasterxml.jackson.core.json.GeneratorFailTest,class,5,6,1,5,13,2,0,15,9,0.42857143,1.0,1.0,7,0,0,3,0,4,4,0,0,0,1,0,0,1,0,0,1,0,3,80,0,0,0,3,0,18,0,13,3,10,1,0,0,0,53,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\JsonGenerator.java,com.fasterxml.jackson.core.JsonGenerator$Feature,enum,1,1,0,1,8,1,0,4,2,0.5,0.16666667,0.16666667,5,1,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,39,4,1,1,0,2,0,3,4,1,3,2,0,0,0,331,1,0
E:\OOD_Assignment\jackson-core\src\test\java\perf\ConcurrencyReadTest.java,perf.ConcurrencyReadTest$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,1,1,0,1,0,2,0,0,0,7,-1,0
E:\OOD_Assignment\jackson-core\src\test\java\perf\RecyclerPoolTest.java,perf.RecyclerPoolTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\exc\StreamReadException.java,com.fasterxml.jackson.core.exc.StreamReadException,class,5,10,5,5,16,6,2,4,70,0.8717949,0.051282052,0.051282052,13,1,6,0,7,0,13,2,0,0,3,1,0,0,2,1,1,0,2,45,5,0,3,0,2,1,1,4,1,4,1,0,0,0,114,1025,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\sym\SymbolTableMergingTest.java,com.fasterxml.jackson.core.sym.SymbolTableMergingTest$MyJsonFactory,innerclass,3,3,0,3,2,3,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\format\TestJsonFormatDetection.java,com.fasterxml.jackson.core.format.TestJsonFormatDetection,class,8,9,1,8,5,2,0,19,10,0.0,0.0,0.0,5,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,13,0,18,0,18,0,0,0,0,58,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\fuzz\Fuzz52688ParseTest.java,com.fasterxml.jackson.core.fuzz.Fuzz52688ParseTest,class,9,9,0,9,4,2,0,9,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,2,1,0,2,0,0,2,0,2,40,0,0,0,5,0,9,68,9,3,9,3,0,0,0,49,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\io\TestJsonStringEncoder.java,com.fasterxml.jackson.core.io.TestJsonStringEncoder,class,9,10,1,9,16,2,0,27,55,0.0,0.0,0.0,11,0,0,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,21,120,1,5,0,0,0,22,56,41,5,37,1,0,0,0,57,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\io\NumberInputTest.java,com.fasterxml.jackson.core.io.NumberInputTest,class,3,3,0,3,10,2,0,14,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,70,102,0,2,0,1,0,59,11,11,0,11,1,0,0,0,41,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\json\UTF8StreamJsonParser.java,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,class,24,28,4,24,932,5,0,195,2741,0.90743804,0.2543269,0.47596154,110,1,25,45,40,0,65,0,59,0,11,1,0,1,10,0,2,0,21,2911,274,39,321,2,215,73,571,645,143,206,6,0,0,0,588,1,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\ParserFeatureDefaultsTest.java,com.fasterxml.jackson.core.ParserFeatureDefaultsTest,class,6,6,0,6,2,4,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,85,0,1,0,1,0,1,0,1,1,1,2,0,1,0,15,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\FormatSchema.java,com.fasterxml.jackson.core.FormatSchema,interface,0,10,10,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\json\JsonWriteFeature.java,com.fasterxml.jackson.core.json.JsonWriteFeature,enum,2,8,6,2,9,1,0,4,5,0.61111116,0.1,0.1,6,1,5,1,0,0,5,0,0,0,3,0,0,3,0,0,3,0,1,37,5,1,1,0,2,5,3,5,1,4,2,0,0,0,236,1,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\read\FastParserNonStandardNumberParsingTest.java,com.fasterxml.jackson.core.read.FastParserNonStandardNumberParsingTest,class,3,3,0,3,1,3,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
