file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\utils\InMemoryOutputManager.java,uk.co.real_logic.sbe.properties.utils.InMemoryOutputManager$GeneratedCodeLoader,innerclass,3,3,0,3,2,4,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,1,0,2,1,0,0,1,17,8,0
E:\OOD_Assignment\simple-binary-encoding\sbe-samples\src\main\java\uk\co\real_logic\sbe\examples\ExampleUsingGeneratedStubExtension.java,uk.co.real_logic.sbe.examples.ExampleUsingGeneratedStubExtension,class,9,10,1,9,15,1,0,73,3,0.6666667,0.0,0.0,3,3,1,0,0,2,4,0,0,0,6,6,0,6,0,0,6,0,6,114,1,7,3,2,0,44,52,33,2,33,2,0,0,0,103,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\MessageSchema.java,uk.co.real_logic.sbe.xml.MessageSchema,class,13,60,47,13,45,1,0,44,83,0.8181819,0.3846154,1.0,22,1,12,8,0,2,14,0,0,0,10,1,1,9,0,0,10,0,12,169,12,8,2,1,1,18,0,24,3,15,2,0,0,0,119,1,2
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\csharp\CSharp.java,uk.co.real_logic.sbe.generation.csharp.CSharp,class,7,7,0,7,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,15,2,0,0,0,0,1,0,3,0,3,2,0,0,1,30,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\cpp\CppUtil.java,uk.co.real_logic.sbe.generation.cpp.CppUtil,class,4,7,3,4,29,1,0,15,21,0.85714287,0.0,0.0,7,7,6,0,0,1,8,0,0,0,1,1,0,1,0,0,1,0,12,97,11,1,3,0,0,40,4,16,11,7,2,0,0,0,99,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\utils\InMemoryOutputManager.java,uk.co.real_logic.sbe.properties.utils.InMemoryOutputManager,class,5,6,1,5,6,7,0,13,6,0.6666667,0.2,0.2,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,2,0,6,99,2,0,0,0,0,3,0,8,0,10,1,0,4,1,64,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\SetType.java,uk.co.real_logic.sbe.xml.SetType$Choice,innerclass,4,4,0,4,8,1,0,10,0,0.5714286,0.52380955,1.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,5,0,8,36,6,0,0,0,1,13,1,5,4,5,1,0,0,0,58,9,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\arbitraries\SbeArbitraries.java,uk.co.real_logic.sbe.properties.arbitraries.SbeArbitraries$EncodedMessage,innerclass,2,2,0,2,6,1,0,0,5,0.6666667,0.0,0.0,6,0,5,1,0,0,5,0,0,0,5,0,0,5,0,0,5,0,0,29,5,0,0,0,0,0,0,5,0,5,0,0,0,0,12,25,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\generated\MetaAttribute.java,uk.co.real_logic.sbe.ir.generated.MetaAttribute,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\SinceVersionSchemaTransformer.java,uk.co.real_logic.sbe.xml.SinceVersionSchemaTransformer,class,6,10,4,6,12,1,0,20,0,0.0,1.0,1.0,4,0,1,1,0,2,3,0,0,0,1,0,0,1,0,0,1,0,0,44,3,3,1,0,0,0,0,12,0,10,2,0,0,0,23,0,0
