class,cbo,wmc,loc
discord4j.gateway.GatewayObserver,5,3,60
discord4j.core.spec.StartThreadFromMessageSpecGenerator,7,4,8
discord4j.gateway.json.jackson.PayloadDeserializer,75,12,111
discord4j.common.store.action.read.GetChannelsAction,2,1,4
discord4j.core.spec.legacy.LegacyGuildPruneSpec,5,7,30
discord4j.gateway.payload.JacksonPayloadWriter,5,3,17
discord4j.common.store.action.read.GetExactMembersInGuildAction,2,2,9
discord4j.rest.request.RateLimitRetryOperator,9,11,57
discord4j.core.event.domain.channel.UnknownChannelUpdateEvent,5,4,18
discord4j.core.spec.TextChannelEditMonoGenerator,6,3,7
discord4j.core.object.Embed,12,17,254
discord4j.voice.json.VoiceGatewayPayloadDeserializer,17,9,32
discord4j.core.spec.ForumChannelEditMonoGenerator,6,2,6
discord4j.common.GitProperties,1,3,17
discord4j.core.event.domain.message.ReactionRemoveEmojiEvent,13,9,37
discord4j.common.sinks.EmissionStrategy,6,6,14
discord4j.oauth2.DiscordOAuth2Client,24,18,83
discord4j.gateway.retry.GatewayStateChange$State,0,0,1
discord4j.core.object.entity.poll.Poll,11,15,79
discord4j.voice.retry.VoiceGatewayReconnectException,2,1,5
discord4j.rest.entity.RestWebhook,9,13,35
discord4j.core.event.domain.StageInstanceCreateEvent,4,3,13
discord4j.core.spec.legacy.LegacyGuildCreateFromTemplateSpec,5,3,15
discord4j.core.util.PermissionUtilTest,5,11,81
discord4j.common.store.action.read.CountInGuildAction,2,3,15
discord4j.core.event.domain.guild.ScheduledEventUserAddEvent,12,9,35
discord4j.voice.AudioProvider$Anonymous1,0,1,5
discord4j.core.event.domain.automod.AutoModRuleEvent,9,3,13
discord4j.common.store.action.gateway.ThreadListSyncAction,2,2,10
discord4j.core.event.domain.guild.MemberLeaveEvent,12,6,26
discord4j.core.spec.StageChannelEditSpecGenerator,8,8,12
discord4j.core.spec.GuildTemplateEditSpecGenerator,5,3,7
discord4j.common.store.action.gateway.GuildScheduledEventUserAddAction,2,2,10
discord4j.core.object.command.ApplicationCommandInteractionResolved,12,16,59
discord4j.voice.json.Identify$Data,1,5,24
discord4j.common.store.action.gateway.ThreadMembersUpdateAction,3,2,10
discord4j.rest.interaction.TweetNaclFastInteractionValidator,5,4,17
discord4j.rest.util.RouteUtilsTest,2,6,46
discord4j.common.store.action.gateway.GuildMembersChunkAction,2,2,10
discord4j.core.object.entity.Integration$ExpireBehavior,1,5,22
discord4j.common.store.api.object.PresenceAndUserData,4,9,29
discord4j.core.support.VoiceSupport$Resume,4,3,12
discord4j.voice.json.SelectProtocol$Data$Inner,0,4,19
discord4j.rest.util.AllowedMentions$Type,0,2,11
discord4j.rest.request.BucketGlobalRateLimiter,9,7,27
discord4j.voice.json.SelectProtocol,3,2,42
discord4j.core.spec.MessageCreateFields$File,4,4,10
discord4j.core.object.reaction.DefaultReaction,4,5,20
discord4j.core.logback.GatewayEventFilter,5,10,28
discord4j.rest.interaction.Interactions$GlobalApplicationCommandRequest,2,2,9
discord4j.common.store.action.gateway.MessageUpdateAction,3,2,10
discord4j.rest.http.ExchangeStrategies,12,3,31
discord4j.rest.interaction.Interactions$ReactorNettyServerHandler,3,0,2
discord4j.core.ExampleAllowedMentions,4,4,15
discord4j.core.event.ReplayingEventDispatcher$Builder,12,15,59
discord4j.core.spec.GuildCreateFields,3,1,15
discord4j.rest.request.DefaultRouter,16,14,72
discord4j.rest.service.WebhookService,15,28,62
discord4j.common.store.action.gateway.ChannelCreateAction,2,2,10
discord4j.voice.retry.VoiceGatewayException,1,6,22
discord4j.core.event.dispatch.DispatchHandlers,124,42,230
discord4j.rest.service.UserService,14,9,29
discord4j.core.spec.NewsChannelEditMonoGenerator,6,3,7
discord4j.core.spec.RoleCreateMonoGenerator,6,3,7
discord4j.rest.service.ChannelService,28,45,125
discord4j.core.event.domain.guild.ScheduledEventUserRemoveEvent,12,9,35
discord4j.core.object.Region$Id,2,17,44
discord4j.common.store.api.object.InvalidationCause,0,0,1
discord4j.core.spec.ScheduledEventEditSpecGenerator,12,11,15
discord4j.rest.request.ResponseHeaderStrategy,3,2,11
discord4j.core.spec.legacy.LegacyWebhookEditSpec,7,8,28
discord4j.common.store.impl.LocalStoreLayout,93,152,738
discord4j.common.StoreLayoutTest,6,1,13
discord4j.rest.http.EmptyWriterStrategy,4,3,8
discord4j.core.event.domain.monetization.EntitlementDeleteEvent,8,4,16
discord4j.core.GatewayDiscordClient,62,76,276
discord4j.core.command.CommandContext,13,14,24
discord4j.core.event.domain.interaction.ButtonInteractionEvent,5,1,5
discord4j.common.store.action.read.GetGuildScheduledEventsInGuildAction,2,2,9
discord4j.core.object.component.ActionRow,6,5,20
discord4j.rest.service.GatewayService,7,3,11
discord4j.rest.entity.RestUser,8,12,32
discord4j.core.object.component.SelectMenu,12,51,213
discord4j.core.object.entity.Member,6,6,20
discord4j.core.event.domain.interaction.ModalSubmitInteractionEvent,13,7,30
discord4j.common.store.impl.EmptyUser,5,17,54
discord4j.core.event.dispatch.PollDispatchHandlers,6,2,8
discord4j.common.store.action.gateway.GuildEmojisUpdateAction,3,2,10
discord4j.core.object.entity.PartialMember$Flag,1,7,28
discord4j.core.support.VoiceSupport$Play,6,3,12
discord4j.gateway.payload.PayloadWriter,3,1,3
discord4j.core.object.monetization.Entitlement$Type,1,11,31
discord4j.core.event.domain.monetization.EntitlementUpdateEvent,8,4,16
discord4j.core.event.domain.command.ApplicationCommandPermissionUpdateEvent,10,6,22
discord4j.common.TestStoreLayout,64,100,304
discord4j.common.util.TokenUtil,0,2,10
discord4j.core.ExampleButtons,4,1,12
discord4j.core.event.domain.interaction.SelectMenuInteractionEvent,6,2,8
discord4j.core.spec.InteractionApplicationCommandCallbackEditMonoGenerator,6,3,7
discord4j.core.event.domain.message.ReactionAddEvent,17,16,70
discord4j.core.object.component.Button$Style,1,9,26
discord4j.core.event.EventDispatcher$Builder,7,5,7
discord4j.core.spec.AutoModRuleEditMonoGenerator,6,3,7
com.iwebpp.crypto.TweetNaclFast,5,157,2336
